Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr John Philip NOBLE ,For public service.,Gloucestershire
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Douglas Edwin OAKERVEE OBE,"Lately Chairman, Crossrail.  For services to Civil Engineering.",Suffolk
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr George Carew O'GRADY ,"Chief Executive, Professional Golfers' Association European Tour. For services to Sport.",Berkshire
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr John Douglas ORR ,"Consultant Paediatric Surgeon and Past President, Royal College of Surgeons of Edinburgh.  For services to Medicine.",Edinburgh
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Jenny OWEN ,"Executive Director, Adult, Health and Community Wellbeing, Essex County Council and President, Association of Directors of Adult Social Services.  For public service.",London
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Miss Ruth OWEN ,"Chief Operating Officer and Deputy Chief Executive Officer, Jobcentre Plus, Department for Work and Pensions.",Buckinghamshire
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Marguerite PATTEN OBE,Cookery Writer.  For services to the Food Industry.,East Sussex
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Stephen PHIPSON ,"President and Group Managing Director, Smiths Detection Group Ltd.  For services to the Security Industry.",Essex
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Graham Fenwick PIMLOTT ,"Lately Chairman, Export Credits Guarantee Department.  For services to Business.",London
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Hope POWELL OBE,"National Coach, England Women''s Football Team. For services to Sport.",London
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Prof Carol PROPPER ,"Professor of Economics of Public Policy, University of Bristol.  For services to Social Science.",London
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Stephen Julian PRZYBYLSKI ,"Head of Strategy and Policy, Crown Prosecution Service.",Essex
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr William ROE ,"Chairman, Highlands and Islands Enterprise.  For public service.",Edinburgh
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Lady Susan Carroll SAINSBURY ,For services to the Royal Shakespeare Company and to the Arts.,London
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr John Robin SCHULTZ ,"Chief Executive, Stockport Metropolitan Borough Council.  For services to Local Government.",Cheshire
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Prof John Graham SHEPHERD FRS,"Professorial Research Fellow in Earth System Science, National Oceanography Centre, Southampton.  For services to Science.",Hampshire
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Prof Martin SHIRLEY ,"Director, Institute for Animal Health.  For services to Science.",Cambridgeshire
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Jo SHUTER ,"Headteacher, Quintin Kynaston Community School, City of Westminster, London.  For services to local and national Education.",London
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Prof David Thomas SINES ,"Pro Vice-Chancellor, Buckinghamshire New University.  For services to Healthcare.",Surrey
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Theodosia SOWA ,For services to the Voluntary Sector in the UK and Overseas.,London
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Prof Robert Stephen John SPARKS FRS,"Chaning Wills Professor of Geology, University of Bristol.  For services to Environmental Science.",Bristol
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Mary Cecilia SPINKS ,"Director, Florence Nightingale Foundation.  For services to Nursing.",Berkshire
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Alyson Jane STAFFORD ,"Director of Finance, Scottish Executive.",Lanarkshire
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Robert Scott STEEDMAN ,"Vice-President, Royal Academy of Engineering.  For services to Engineering.",London
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr David Graham STEVENS ,"Chief Operating Officer, Admiral Group. For services to the Insurance Industry and to Charity.",South Glamorgan
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Heather Vivienne STEVENS ,For charitable services.,South Glamorgan
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Paul STOCKTON ,"Director, Tribunals Judicial Office, Ministry of Justice.",Essex
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Norman Kelvin STOLLER OBE DL,For charitable services.,Cumbria
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr David Radcliffe STONE OBE,"Chairman, Sheffield Teaching Hospitals NHS Foundation Trust.  For services to Healthcare.",South Yorkshire
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Timothy John STONE ,"Expert Chairman, Office of Nuclear Development.  For services to the Energy Industry.",Essex
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr (Ernest) Neil SUGGETT ,"Headteacher, Hayes Park Primary School, Hillingdon, London.  For services to Education.",Buckinghamshire
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Helen Patricia TAIT ,"Headteacher, Sandgate Primary School and Folkstone Primary Academy.  For services to Education in Kent.",Kent
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Stephen William THOMAS ,"Chief Executive, Welsh Local Government Association.  For services to Local Government.",Gwent
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Harold Peter TILLMAN ,"Chairman, Jaeger and British Fashion Council.  For services to the Fashion Industry.",London
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Martin TOLHURST ,"Principal, Newham College of Further Education.  For services to Further Education in London.",Surrey
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Louise  Wendy TULETT ,"Group Director of Finance and Procurement, HM Treasury.",Hampshire
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Hon Lord Colin Jack TYRE ,"President, Council of Bars and Law Societies of Europe.  For services to the Administration of Justice.",East Lothian
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Prof Veronica VAN HEYNINGEN FRS,"President, Genetics Society.  For services to Science.",Edinburgh
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Jean VENABLES OBE,"President, Institution of Civil Engineers.  For services to Civil Engineering.",Surrey
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Robert VINCENT ,"Chief Executive, Kirklees Council.  For services to Local Government.",West Yorkshire
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Miss Sarah WEBB ,"Chief Executive, Chartered Institute of Housing.  For services to the Housing Sector.",West Midlands
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Gillian Barbara WESTERMAN ,"Principal and Chief Executive, Northern College for Residential Adult Education.  For services to Adult Learning.",South Yorkshire
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr John Furness WIDDOWSON ,"Principal, New College Durham.  For services to local and national Further and Higher Education.",Durham
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Robert James YOUNG ,"Consultant Physician, Diabetes and Endocrinology, Salford Royal NHS Foundation Trust.  For services to Medicine.",Greater Manchester
Birthday,2010,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Ms Susan Marie ADAMS ,"Director, Care & Repair England.  For services to the Housing Sector for Older People.",Devon
Birthday,2010,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Dr Husna AHMAD ,"Chief Executive Officer, Faith Regeneration Foundation.  For services to Disadvantaged People.",London
Birthday,2010,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Maqsood AHMAD ,"Lately Head of Police Equality and Diversity Policy, Home Office.",Greater Manchester
Birthday,2010,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Barry George ALBIN-DYER ,"Chairman, Kenyons Repatriation Services Ltd. For services to the Armed Forces.",London
