New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Mary Stewart MACKLIN ,"Chief Executive Officer, The Klin Group.  For services to Economic Regeneration and Entrepreneurship in Scotland.",Ayrshire and Arran
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Patrick Sean MAGUIRE ,"Governing Governor, Maghaberry Prison, Department of Justice.  For Public Service to the Northern Ireland Prison Service.",Down
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire, Carolyn MAKINSON ,"Lately Executive Director, International Rescue Committee UK.  For services to Humantarian Relief Programmes.",USA
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Miss Adeeba MALIK MBE,"Deputy Chief Executive, QED-UK.  For services to Interfaith and Community Cohesion.",West Yorkshire
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Gordon MATHESON ,For services to Local Government and the community.,Glasgow
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Alice Mary MAYNARD ,"Lately Chair, Scope.  For services to People with Disabilities and their Families.",Buckinghamshire
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Josephine Helen MCARDLE ,"Founder and Chairman, Helen McArdle Care. For services to the Care Home Business and the community in the North East of England.",Tyne and Wear
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Bridget Mary MCCONNELL ,"Chief Executive, Culture and Sport Glasgow.  For services to Culture.",Stirling and Falkirk
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Uma MEHTA ,"Chief Community Services Lawyer, London Borough of Islington.  For services to Children.",Essex
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Julienne Elizabeth MEYER ,Professor of Nursing Care for Older People.  For services to Nursing and Older People.,Surrey
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr David Fraser MIDDLETON ,"Chief Executive, Transport Scotland.  For services to the Civil Service and Transport in Scotland.",Edinburgh
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Jonathan MOULDS ,Philanthropist.  For services to the LSO (London Symphony Orchestra).,London
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Denis Kevin MYERS ,"Deputy Chief Executive, Health and Safety Executive.  For services to Occupational Safety and Health.",Essex
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Tim OATES ,"Group Director of Assessment Research and Development, Cambridge Assessment.  For services to Education.",Cambridgeshire
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Timothy Noel PALMER FRS,"Professor in Climate Physics, University of Oxford.  For services to Science.",Berkshire
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Nicholas PASCOE ,"Regional Manager, HM Prison Service, Greater London.  For services to the Criminal Justice System.",Hampshire
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Sharon Jayne PEACOCK ,"Professor of Clinical Microbiology, University of Cambridge.  For services to Medical Microbiology.",Cambridgeshire
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Joanne Lesley PEREZ ,"Co-Head, Policy and Markets Team, Debt Management Office.  For services to UK Financial Management.",Spain
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Amanda PHILLIPS ,"Executive Principal, Paradigm Trust, Tower Hamlets, London.  For services to Education.",Essex
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Sonia Clare PHIPPARD ,"Director of Water and Flood Risk Management, Department for Environment, Food and Rural Affairs.  For services to the Environment and Flood Risk Management.",London
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Stuart POLAK ,"Director, Conservative Friends of Israel.  For political service.",Hertfordshire
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor David Anthony PURSER ,Toxicologist.  For services to Fire Safety.,Hertfordshire
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Stephen QUARTERMAIN ,"Chief Planner, Department for Communities and Local Government.  For services to Planning Infrastructure.",London
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr John Paul RANDALL ,"Lately Independent Chair, Police Negotiating Board and Police Advisory Board of England and Wales.  For services to Policing.",Worcestershire
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Peter Wynne REES ,"Lately City Planning Officer, City of London Corporation.  For services to Architecture and Town Planning.",London
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Anne Helen RICHARDS CVO,"Chief Investment Officer, Aberdeen Asset Management plc.  For services to the Financial Services Industry and voluntary service.",Edinburgh
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Stephen Michael RICHARDSON ,"Associate Provost (Institutional Affairs) and Professor of Chemical Engineering, Imperial College London.  For services to Chemical Engineering Education and Safety.",Surrey
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr (Vivecca) Vicky ROBINSON ,"Chief Executive, National Centre for the 3Rs (NC3Rs).  For services to Science and Animal Welfare.",Hertfordshire
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Fiona Mary ROSS ,"Professor of Primary Care Nursing, Kingston University and St George's and Director of Research, Leadership Foundation for Higher Education. For services to Nursing.",London
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Caroline RUSH ,"Chief Executive, British Fashion Council. For services to the British Fashion Industry.",London
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Judith Anne SALTER ,"Headteacher, Glenwood Special School, Essex.  For services to Education.",Essex
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Michael Paul SHEFFIELD ,"Lately Group Chief Executive Officer, Kier Group plc.  For services to Civil Engineering, Construction and Charitable Fundraising.",Cambridgeshire
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Jane Elizabeth SHEPHERDSON MBE,"Chief Executive Officer, Whistles.  For services to UK Retail Business.",London
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Ali SMITH ,Writer.  For services to Literature.,Cambridgeshire
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Rosalind Louise SMYTH ,"Director, Institute of Child Health and Professor of Child Health, University College London. For services to Regulation of Medicines for Children.",London
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Barbara SPICER ,"Lately Interim Chief Executive, Skills Funding Agency.  For services to Education, Learning and Skills.",Merseyside
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Sarah Elizabeth STANIFORTH ,"Lately Museums and Collections Director, National Trust.  For services to National Heritage.",Gloucestershire
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Alasdair Glen STIRLING ,"Head of Future Submarines, Ministry of Defence.  For services to Defence.",Somerset
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs May STORRIE ,For services to Business and Philanthropy.,Lanarkshire
